t,h
5.162988281250000000e+01,-3.639550273819101854e-26
5.163085937500000000e+01,4.571078524528732044e-26
5.163183593750000000e+01,-2.015006188943866659e-27
5.163281250000000000e+01,-5.599530072736420338e-26
5.163378906250000000e+01,4.362542817844041492e-26
5.163476562500000000e+01,-2.520086089914571329e-26
5.163574218750000000e+01,-1.837350698850488880e-26
5.163671875000000000e+01,5.141544630039610456e-26
5.163769531250000000e+01,-4.673774970157454038e-26
5.163867187500000000e+01,7.834382172660769196e-28
5.163964843750000000e+01,3.354147268015392597e-26
5.164062500000000000e+01,-4.843041488982143193e-26
5.164160156250000000e+01,2.441202736380830628e-26
5.164257812500000000e+01,2.445565358453248510e-26
5.164355468750000000e+01,-7.040352576243053974e-26
5.164453125000000000e+01,4.043689996591079105e-26
5.164550781250000000e+01,1.161460741251641238e-26
5.164648437500000000e+01,-4.744678260907403742e-26
5.164746093750000000e+01,5.597197341044447692e-26
5.164843750000000000e+01,-2.639299789401023946e-26
5.164941406250000000e+01,-3.605951992161488272e-26
5.165039062500000000e+01,6.456346893635359536e-26
5.165136718750000000e+01,-4.454113542225985317e-26
5.165234375000000000e+01,-1.550385730312115961e-26
5.165332031250000000e+01,3.993757303570178532e-26
5.165429687500000000e+01,-4.567390176920478004e-26
5.165527343750000000e+01,2.232820505073589683e-26
5.165625000000000000e+01,2.790860251139641373e-26
5.165722656250000000e+01,-2.613301389904678225e-26
5.165820312500000000e+01,1.823155835323618468e-26
5.165917968750000000e+01,-1.399958450223508879e-27
5.166015625000000000e+01,-3.748232432169784371e-26
5.166113281250000000e+01,3.749170086920374148e-26
5.166210937500000000e+01,3.596602711021009504e-27
5.166308593750000000e+01,-3.051706494571531489e-26
5.166406250000000000e+01,4.820299459327256619e-26
5.166503906250000000e+01,-3.954113858632947647e-26
5.166601562500000000e+01,-9.311218820597478934e-29
5.166699218750000000e+01,6.072607703709299420e-26
5.166796875000000000e+01,-4.237448395363213558e-26
5.166894531250000000e+01,1.942673143837070941e-26
5.166992187500000000e+01,4.748718858840723152e-26
5.167089843750000000e+01,-6.752227511306580107e-26
5.167187500000000000e+01,1.169919963630439853e-26
5.167285156250000000e+01,3.918215971877562615e-26
5.167382812500000000e+01,-5.128731367339894668e-26
5.167480468750000000e+01,4.467795483694647410e-26
5.167578125000000000e+01,2.138216300563125539e-26
5.167675781250000000e+01,-2.656956841697774176e-26
5.167773437500000000e+01,4.548213022506775736e-26
5.167871093750000000e+01,-5.711632998247941479e-27
